"","Word","Frequency","Percentage"
"114","idea",229,0.0780180020577674
"115","since",228,0.0776773120924496
"116","avis",227,0.0773366221271319
"117","economic",227,0.0773366221271319
"118","customers",225,0.0766552421964963
"119","free",224,0.0763145522311786
"120","good",224,0.0763145522311786
"121","think",223,0.0759738622658608
"122","big",222,0.0756331723005431
"123","dont",222,0.0756331723005431
"124","research",222,0.0756331723005431
"125","week",222,0.0756331723005431
"126","transit",217,0.0739297224739543
"127","ride",216,0.0735890325086365
"128","today",215,0.0732483425433187
