;WORDS;X2015;X2014;X2013;X2012;X2011;X2010;X2009;X2008;X2007;X2006;X2005
530;street;NA;101;232;115;116;154;79;60;42;46;12
536;urban;NA;97;191;140;137;127;99;60;53;29;18
50;tax;338;111;123;NA;126;NA;76;118;30;20;NA
347;experience;106;161;204;156;105;63;43;46;NA;36;8
109;lyft;225;505;165;NA;NA;NA;NA;NA;NA;NA;NA
622;traffic;NA;NA;158;128;73;124;109;110;86;78;16
458;systems;87;139;157;148;109;92;73;NA;27;26;NA
648;fuel;NA;NA;123;75;193;74;82;185;52;58;11
167;personal;175;124;116;93;105;75;45;47;36;NA;14
517;bicycle;NA;115;182;155;176;91;55;56;NA;NA;NA
280;markets;123;122;140;92;85;79;47;49;27;34;24
614;sales;NA;NA;211;79;134;95;78;66;43;105;11
192;owners;158;171;146;117;159;69;NA;NA;NA;NA;NA
287;health;120;110;168;89;118;55;97;NA;34;21;8
479;price;83;151;124;102;114;61;NA;66;65;38;16
642;sustainable;NA;NA;126;188;136;124;86;69;54;24;NA
335;member;108;NA;131;103;107;85;95;66;43;38;20
159;house;177;125;133;87;94;56;52;NA;27;25;17
21;workers;576;97;NA;NA;NA;NA;66;NA;28;23;NA
75;jobs;273;107;NA;86;152;63;87;NA;NA;NA;NA
132;innovation;199;106;195;121;84;57;NA;NA;NA;NA;NA
751;gas;NA;NA;NA;72;110;99;99;119;96;102;45
294;products;119;NA;184;89;111;71;46;42;27;42;NA
628;membership;NA;NA;143;96;96;89;78;79;75;54;19
197;opportunity;156;110;105;83;90;58;66;39;NA;NA;14
420;america;92;NA;181;NA;188;66;58;53;34;37;8
713;environmental;NA;NA;NA;98;126;116;125;102;105;36;NA
124;ridesharing;206;364;137;NA;NA;NA;NA;NA;NA;NA;NA
438;companys;89;94;104;149;97;71;NA;37;28;31;NA
527;citys;NA;102;160;127;116;95;52;47;NA;NA;NA
330;country;109;96;131;95;95;NA;61;50;33;NA;21
101;issues;234;85;NA;83;72;59;44;54;30;24;NA
87;safety;253;199;125;84;NA;NA;NA;NA;NA;NA;11
441;school;89;NA;106;85;72;66;97;69;34;52;NA
549;trips;NA;92;209;86;95;63;71;NA;33;21;NA
700;environment;NA;NA;95;82;89;82;87;111;63;41;12
484;ownership;82;86;NA;128;120;82;49;47;32;34;NA
637;worlds;NA;NA;130;123;117;95;105;59;27;NA;NA
741;zipcars;NA;NA;NA;76;137;82;129;62;43;85;35
589;station;NA;81;203;82;117;112;NA;38;NA;NA;11
534;europe;NA;99;112;106;85;90;51;53;33;NA;12
112;platform;221;196;NA;132;89;NA;NA;NA;NA;NA;NA
222;renting;145;181;112;108;82;NA;NA;NA;NA;NA;NA
377;rate;100;88;NA;86;108;68;53;43;37;29;12
639;college;NA;NA;128;NA;126;121;91;105;48;NA;NA
251;study;134;79;104;100;91;71;NA;38;NA;NA;NA
656;county;NA;NA;116;83;89;93;76;83;29;38;8
344;american;106;NA;123;107;NA;78;102;65;NA;25;8
635;carshare;NA;NA;131;81;75;68;53;96;27;63;13
476;communities;83;80;112;80;89;76;41;NA;24;NA;7
683;sustainability;NA;NA;102;132;134;96;84;38;NA;NA;NA
157;driver;177;273;95;NA;NA;NA;NA;40;NA;NA;NA
736;congestion;NA;NA;NA;77;NA;79;98;110;108;80;15
662;investment;NA;NA;115;98;124;80;49;NA;43;30;17
702;brand;NA;NA;NA;204;99;98;41;48;34;25;7
664;projects;NA;NA;114;87;105;107;76;61;NA;NA;NA
88;traditional;253;182;114;NA;NA;NA;NA;NA;NA;NA;NA
107;income;228;101;NA;72;93;NA;44;NA;NA;NA;NA
647;bus;NA;NA;123;NA;72;73;44;100;70;47;7
345;connect;106;87;NA;NA;153;110;78;NA;NA;NA;NA
753;alternative;NA;NA;NA;NA;108;124;129;62;54;44;8
