"","Word","Frequency","Percentage"
"104","part",333,0.102393486175342
"105","well",332,0.102085998228869
"106","read",330,0.101471022335924
"107","google",328,0.100856046442979
"108","model",327,0.100548558496507
"109","public",325,0.0999335826035619
"110","trust",325,0.0999335826035619
"111","brands",324,0.0996260946570894
"112","lyft",322,0.0990111187641445
"113","collaborative",320,0.0983961428711995
"114","san",317,0.097473679031782
"115","information",316,0.0971661910853095
"116","top",314,0.0965512151923645
"117","demand",313,0.096243727245892
"118","growth",312,0.0959362392994195
"119","2012",311,0.095628751352947
"120","follow",308,0.0947062875135295
"121","said",308,0.0947062875135295
"122","december",307,0.094398799567057
"123","comments",305,0.093783823674112
"124","space",304,0.0934763357276395
"125","tech",303,0.093168847781167
"126","platforms",300,0.0922463839417495
"127","local",298,0.0916314080488045
"128","using",298,0.0916314080488045
"129","innovation",297,0.091323920102332
"130","take",297,0.091323920102332
"131","events",296,0.0910164321558595
"132","e28094",293,0.090093968316442
"133","create",291,0.089478992423497
"134","cars",289,0.088864016530552
"135","free",286,0.0879415526911345
"136","good",286,0.0879415526911345
"137","app",285,0.087634064744662
"138","platform",282,0.0867116009052445
"139","used",282,0.0867116009052445
"140","web",282,0.0867116009052445
"141","better",281,0.086404112958772
"142","video",281,0.086404112958772
"143","privacy",280,0.0860966250122995
"144","sign",280,0.0860966250122995
"145","best",278,0.0854816491193545
"146","great",278,0.0854816491193545
"147","going",275,0.084559185279937
"148","peertopeer",275,0.084559185279937
"149","right",275,0.084559185279937
"150","today",273,0.083944209386992
"151","models",270,0.0830217455475745
"152","two",270,0.0830217455475745
"153","workers",269,0.082714257601102
"154","real",268,0.0824067696546295
"155","strategy",266,0.0817917937616845
"156","really",265,0.081484305815212
"157","site",265,0.081484305815212
"158","view",265,0.081484305815212
"159","post",263,0.080869329922267
"160","terms",263,0.080869329922267
"161","october",260,0.0799468660828496
"162","november",259,0.0796393781363771
"163","july",258,0.0793318901899046
"164","rights",256,0.0787169142969596
"165","back",254,0.0781019384040146
"166","network",254,0.0781019384040146
"167","shared",253,0.0777944504575421
"168","life",252,0.0774869625110696
"169","via",251,0.0771794745645971
"170","become",250,0.0768719866181246
"171","every",250,0.0768719866181246
"172","food",249,0.0765644986716521
"173","travel",249,0.0765644986716521
"174","group",248,0.0762570107251796
"175","movement",248,0.0762570107251796
"176","making",247,0.0759495227787071
"177","taxi",246,0.0756420348322346
"178","brand",245,0.0753345468857621
"179","open",244,0.0750270589392896
"180","york",244,0.0750270589392896
"181","subscribe",243,0.0747195709928171
"182","management",240,0.0737971071533996
"183","small",240,0.0737971071533996
"184","based",239,0.0734896192069271
"185","c2a9",239,0.0734896192069271
"186","still",239,0.0734896192069271
"187","francisco",237,0.0728746433139821
"188","ways",236,0.0725671553675096
"189","already",234,0.0719521794745646
"190","less",234,0.0719521794745646
"191","2011",233,0.0716446915280921
"192","last",230,0.0707222276886746
"193","log",230,0.0707222276886746
"194","users",230,0.0707222276886746
"195","august",229,0.0704147397422021
"196","jobs",229,0.0704147397422021
"197","system",229,0.0704147397422021
"198","capital",226,0.0694922759027846
"199","june",226,0.0694922759027846
"200","rent",225,0.0691847879563121
"201","april",223,0.0685698120633671
"202","day",223,0.0685698120633671
"203","product",223,0.0685698120633671
"204","address",222,0.0682623241168946
"205","example",222,0.0682623241168946
"206","rather",222,0.0682623241168946
"207","march",221,0.0679548361704221
"208","september",220,0.0676473482239496
"209","startup",220,0.0676473482239496
"210","2010",219,0.0673398602774771
"211","financial",219,0.0673398602774771
"212","buying",218,0.0670323723310046
"213","culture",218,0.0670323723310046
"214","look",215,0.0661099084915871
"215","recent",215,0.0661099084915871
"216","another",214,0.0658024205451146
"217","latest",213,0.0654949325986421
"218","traditional",213,0.0654949325986421
"219","learn",212,0.0651874446521696
"220","million",212,0.0651874446521696
"221","transportation",211,0.0648799567056971
"222","collaboration",210,0.0645724687592246
"223","personal",210,0.0645724687592246
"224","billion",209,0.0642649808127521
"225","potential",209,0.0642649808127521
"226","different",208,0.0639574928662796
"227","job",208,0.0639574928662796
"228","ownership",208,0.0639574928662796
"229","pay",208,0.0639574928662796
"230","website",208,0.0639574928662796
"231","linkedin",207,0.0636500049198071
"232","say",206,0.0633425169733347
"233","crowd",203,0.0624200531339172
"234","opportunities",203,0.0624200531339172
"235","brian",201,0.0618050772409722
"236","january",201,0.0618050772409722
"237","tools",201,0.0618050772409722
"238","done28099t",200,0.0614975892944997
"239","register",199,0.0611901013480272
"240","without",199,0.0611901013480272
"241","development",198,0.0608826134015547
"242","markets",198,0.0608826134015547
"243","society",198,0.0608826134015547
"244","sustainable",196,0.0602676375086097
