"","Word","Frequency","Percentage"
"193","launched",72,0.0615526659998461
"194","benefits",71,0.0606977678609594
"195","network",71,0.0606977678609594
"196","provide",71,0.0606977678609594
"197","say",71,0.0606977678609594
"198","better",70,0.0598428697220726
"199","four",70,0.0598428697220726
"200","major",70,0.0598428697220726
"201","today",70,0.0598428697220726
"202","west",70,0.0598428697220726
"203","agency",69,0.0589879715831859
"204","another",69,0.0589879715831859
"205","miles",69,0.0589879715831859
"206","school",69,0.0589879715831859
"207","sustainable",69,0.0589879715831859
"208","fleet",68,0.0581330734442991
"209","leading",68,0.0581330734442991
"210","offer",68,0.0581330734442991
"211","throughout",68,0.0581330734442991
"212","annual",67,0.0572781753054124
"213","become",67,0.0572781753054124
"214","events",67,0.0572781753054124
"215","makes",67,0.0572781753054124
"216","place",67,0.0572781753054124
"217","times",67,0.0572781753054124
"218","member",66,0.0564232771665256
"219","office",66,0.0564232771665256
"220","open",66,0.0564232771665256
"221","price",66,0.0564232771665256
"222","sales",66,0.0564232771665256
"223","within",66,0.0564232771665256
"224","american",65,0.0555683790276389
"225","consumers",65,0.0555683790276389
"226","look",65,0.0555683790276389
"227","south",65,0.0555683790276389
"228","washington",65,0.0555683790276389
"229","far",64,0.0547134808887521
"230","national",64,0.0547134808887521
"231","wilson",64,0.0547134808887521
"232","based",63,0.0538585827498654
"233","private",63,0.0538585827498654
"234","put",63,0.0538585827498654
"235","things",63,0.0538585827498654
"236","website",63,0.0538585827498654
"237","alternative",62,0.0530036846109786
"238","bring",62,0.0530036846109786
"239","event",62,0.0530036846109786
"240","might",62,0.0530036846109786
"241","start",62,0.0530036846109786
"242","thats",62,0.0530036846109786
"243","zipcars",62,0.0530036846109786
"244","able",61,0.0521487864720918
"245","action",61,0.0521487864720918
"246","end",61,0.0521487864720918
"247","internet",61,0.0521487864720918
"248","know",61,0.0521487864720918
"249","management",61,0.0521487864720918
"250","projects",61,0.0521487864720918
"251","ride",61,0.0521487864720918
"252","similar",61,0.0521487864720918
"253","encourage",60,0.0512938883332051
"254","means",60,0.0512938883332051
"255","media",60,0.0512938883332051
"256","street",60,0.0512938883332051
"257","taking",60,0.0512938883332051
"258","urban",60,0.0512938883332051
"259","works",60,0.0512938883332051
"260","york",60,0.0512938883332051
"261","announced",59,0.0504389901943183
"262","theres",59,0.0504389901943183
"263","worlds",59,0.0504389901943183
"264","getting",58,0.0495840920554316
"265","got",58,0.0495840920554316
"266","key",58,0.0495840920554316
"267","several",58,0.0495840920554316
"268","whether",58,0.0495840920554316
"269","ago",57,0.0487291939165448
"270","days",57,0.0487291939165448
"271","executive",57,0.0487291939165448
"272","food",57,0.0487291939165448
"273","initiative",57,0.0487291939165448
"274","manager",57,0.0487291939165448
"275","recent",57,0.0487291939165448
"276","research",57,0.0487291939165448
"277","support",57,0.0487291939165448
"278","2008",56,0.0478742957776581
"279","bicycle",56,0.0478742957776581
"280","petrol",56,0.0478742957776581
"281","along",55,0.0470193976387713
