"","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"local",11.0979929161747,12.0231067633665,13.0293159609121,13.8632220661626,14.2032332563511,13.1148295011644,14.3741588156124,15.2885928135016,14.6793058388594,13.9339968569932,14.808336977117,10.3429820725842,15.3216092507829,18.0556851720426,16.7806153227428,13.6568370925388,16.5737534599338,13.7148495313271
"rental",5.3128689492326,6.69210659470401,6.77524429967428,9.02339897797566,8.23710546574288,12.1610237192615,9.87886944818304,12.811274533536,10.7256794662599,20.848611838659,13.7880775397172,12.1610843900306,15.0204769934955,25.1960946733291,18.1077820229237,11.275395749,17.2792004020746,9.47212629501725
"technology",9.91735537190084,6.23840445269016,9.05537459283389,6.72653378358187,8.50654349499617,9.53805781902866,9.17900403768503,18.1198137048907,11.6847274477321,11.6815086432687,11.9516105523976,9.8985570616528,12.8282341604432,15.7816694073017,14.1966619746632,14.5802531237069,14.550905601747,19.7335964479526
"money",10.271546635183,7.59951087873166,10.0325732899023,10.2538624749724,10.7390300230947,10.0149607099801,10.9017496635262,10.4047367758552,10.8039690974005,12.0481927710844,11.3977554292377,10.7874070835155,12.6355095157793,16.8277166590826,14.2670420269455,17.0102953109914,15.035369164422,14.8988653182042
"airbnb",0,0,0,0,0,0,0,0,0,0,0,7.95924792304327,2.37292218742471,18.1466458026323,5.99235873718078,37.6656539029095,11.6526235864458,34.4844597927972
"users",6.72963400236128,5.89812784617981,7.10097719869707,6.64450288378207,7.3133179368745,6.91509191879577,7.45625841184387,12.6697134889665,8.92501795002651,13.200628601362,10.3191954525579,12.645911674683,12.2982413876174,14.2353386872779,13.4124271063744,19.100131592056,14.6783960129773,14.4055254070054
"university",9.20897284533648,13.4976387249115,12.8338762214984,11.9765113707677,13.2024634334103,28.2962381964517,18.8156123822342,26.8258179459124,21.0990555923872,14.4054478784704,19.720157411456,6.58557061652819,18.260660081908,11.3700788237044,17.7558817615122,6.70691643690516,16.1827828654943,4.83473112974839
"parking",24.2030696576151,19.6226176420982,24.6254071661238,12.7968203687655,20.554272517321,21.4606300928145,21.6419919246299,18.8983994500227,20.9620487378912,10.8433734939759,18.6270222999562,7.67643200699605,17.6824861479161,14.0534174260987,17.8664789865272,10.4491814053233,16.9307266113785,0
"community",7.55608028335302,8.28006409175242,8.92508143322476,9.7616770761737,9.85373364126249,11.525153197993,10.7940780619112,14.5100070683695,11.8608791177984,12.676794133054,12.3597143273575,10.2621775251421,13.2739099012286,17.1005985508515,14.8602453247536,11.4211982802371,14.5594049624957,7.59743463246176
"businesses",8.02833530106257,9.75459605329736,10.0325732899023,8.1210590801781,9.73826020015398,10.1739283402973,10.2557200538358,8.63522371873699,9.84492111592835,8.59088528025145,9.72161492493805,8.16125929164843,10.46735726331,11.5520000848837,11.2909712447215,16.7672910922629,12.4770615790681,16.4775530340405
