"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"work",35.7210626185958,34.1555977229602,26.293408929837,30.049610205528,23.6316113161132,32.2263222632226,23.662456946039,29.6211251435132,24.6981023576768,29.7872340425532,24.1212688021198,31.9694489907256,29.5710154241645,27.892030848329,27.5933749077987,35.968617984309,28.4480676328502,43.4782608695652
"research",33.6337760910816,38.5199240986717,26.3406567446256,28.7030474840539,23.370233702337,58.1180811808118,28.300803673938,29.2192881745121,28.5029710561626,22.3116733755032,26.2021666276986,25.2045826513912,30.719794344473,32.6478149100257,29.0484811909072,29.2094146047073,29.0821256038647,33.2125603864734
"design",30.0759013282732,31.2144212523719,22.7498228206945,41.4599574769667,23.8007380073801,78.1672816728167,32.3650975889782,41.50401836969,33.9467126701168,26.6244968372628,31.2134673836801,33.9879978177851,37.1786632390746,20.5012853470437,33.1723999195334,10.5009052504526,30.9239130434783,11.7753623188406
"collaborativeconsumption",0,9.29791271347249,2.31514292463974,8.36286321757619,3.3210332103321,7.50307503075031,3.88059701492537,48.564867967853,11.3475177304964,40.598044853364,14.7299509001637,57.8286961265685,23.6985861182519,51.6066838046272,25.1659625829813,38.4429692214846,26.5096618357488,44.3236714975845
"marketing",25.9962049335863,37.9506641366224,22.3954642097803,35.223245924876,22.2170971709717,35.670356703567,23.2491389207807,25.8323765786452,23.720529039678,28.8096607245543,23.1938274491465,21.4402618657938,27.064588688946,37.9820051413882,26.5540132770066,40.3741701870851,27.9528985507246,28.4420289855072
"service",23.5768500948767,28.9373814041746,18.946373730215,22.8915662650602,17.2970479704797,23.8622386223862,17.3708381171068,23.3639494833525,18.4013801035078,24.6118458884416,18.2994310653885,27.8777959629024,22.9675449871465,31.8766066838046,22.4971501374639,45.9263729631865,24.8550724637681,45.6521739130435
"company",22.438330170778,23.9089184060721,17.1273328608552,29.9787384833452,17.6506765067651,18.3271832718327,16.601607347876,16.5901262916188,16.6283304581177,21.4491086831512,16.4289611098122,33.3333333333333,21.8428663239075,26.2210796915167,20.9682827063636,35.4254677127339,22.4275362318841,40.3381642512077
"global",29.1745730550285,30.0759013282732,22.0174816914718,30.5457122608079,20.9563345633456,27.1217712177122,20.7118254879449,27.9563719862227,21.9570634464251,25.0143760782059,21.2454212454213,24.6590289143481,25.530205655527,20.1799485861183,23.4158117079059,21.6053108026554,23.2487922705314,25.8454106280193
"economic",29.9335863377609,23.1499051233397,20.6709189699976,30.3330970942594,20.0338253382534,22.140221402214,19.0929965556831,26.4638346727899,20.3565267395055,17.9413456009201,18.9852700490998,26.8412438625205,23.5218508997429,22.7506426735218,22.0076443371555,25.4073627036814,22.3611111111111,27.1739130434783
"innovation",18.4060721062619,30.7400379506641,16.8202220647295,21.9702338766832,15.7134071340713,43.3579335793358,19.8277841561424,26.865671641791,21.0369944412498,26.279470960322,20.6686930091185,29.8417894162575,25.6989074550129,19.3444730077121,23.4694561791725,17.9239589619795,22.9287439613527,18.8405797101449
"digital",23.2447817836812,26.6603415559772,18.2140326009922,21.615875265769,16.5436654366544,29.7047970479705,17.8989667049369,24.6268656716418,19.0530956488403,20.0115008625647,18.2059075676097,15.4391707583197,21.0395244215938,25.5784061696658,20.2306712264467,35.1840675920338,21.7391304347826,22.524154589372
"money",20.8254269449715,23.6242884250474,16.2532482872667,32.8844790928419,17.7121771217712,16.0516605166052,16.2227324913892,22.2732491389208,17.2608778991758,15.6986774008051,16.1639778661055,26.5684669939989,20.5735861182519,27.3136246786632,20.0227989002883,24.140012070006,20.4468599033816,26.1473429951691
