"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"shared",0,0,0,0,0,0,0,0.4075,0.0679166666666667,0.515,0.131785714285714,0.7075,0.20375,0.6725,0.255833333333333,0.6325,0.2935,0.485
"economics",0.46875,0.3575,0.431666666666667,0.415,0.4275,0,0.342,0.4575,0.36125,0.2625,0.347142857142857,0.3125,0.3428125,0,0.304722222222222,0.3525,0.3095,0.315
"platforms",0,0,0,0,0,0,0,0,0,0.295,0.0421428571428571,0.685,0.1225,0.5875,0.174166666666667,0.75,0.23175,1.09
"brand",0,0,0,0.3325,0.083125,0.415,0.1495,0.4225,0.195,0.35,0.217142857142857,0.3175,0.2296875,0.43,0.251944444444444,0.6125,0.288,0.47
"app",0.0975,0.195,0.13,0,0.0975,0,0.078,0.325,0.119166666666667,0.325,0.148571428571429,0.3725,0.1765625,0.4775,0.21,0.7125,0.26025,0.7425
"states",0.31125,0.22,0.280833333333333,0.405,0.311875,0.3125,0.312,0.365,0.320833333333333,0.295,0.317142857142857,0,0.2775,0.43,0.294444444444444,0.295,0.2945,0.3975
"demand",0.14,0,0.0933333333333333,0,0.07,0,0.056,0.2775,0.0929166666666667,0.2675,0.117857142857143,0.605,0.17875,0.465,0.210555555555556,0.7825,0.26775,0.625
"national",0.255,0.2475,0.2525,0.575,0.333125,0.4875,0.364,0.3225,0.357083333333333,0.39,0.361785714285714,0.3575,0.36125,0,0.321111111111111,0,0.289,0.395
"production",0.40875,0.28,0.365833333333333,0.3975,0.37375,0,0.299,0.33,0.304166666666667,0.2825,0.301071428571429,1.165,0.4090625,0,0.363611111111111,0,0.32725,0
"ownership",0.1275,0,0.085,0,0.06375,0.37,0.125,0.3875,0.16875,0.3075,0.188571428571429,0.545,0.233125,0.5175,0.264722222222222,0.52,0.29025,0.3475
"together",0.10125,0,0.0675,0.275,0.119375,0.3525,0.166,0.4725,0.217083333333333,0.395,0.2425,0.4925,0.27375,0.4125,0.289166666666667,0.35,0.29525,0.2975
