"","GSC.2011.X","GSC.2011.Y","GSC.2010.X","GSC.2010.Y","GSC.2009.X","GSC.2009.Y","GSC.2008.X","GSC.2008.Y","GSC.2007.X","GSC.2007.Y","GSC.2012.X","GSC.2012.Y","GSC.2013.X","GSC.2013.Y","GSC.2014.X","GSC.2014.Y","GSC.2015.X","GSC.2015.Y","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"library",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.753320683112,0,7.34703519962203,0,4.78167281672817,0,3.57060849598163,6.8886337543054,4.13072647115199,0,3.3590522952225,0,3.46240359897172,0,2.89009588949238,0,2.60265700483092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crowdfunding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8986534372785,2.79827798277983,0,2.08955223880597,0,1.74429748897834,0,1.41843971631206,12.0021822149482,3.22943444730077,0,2.69563468115068,0,2.42753623188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ondemandeconomy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44900422450211,0.845410628019324,15.6400966183575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"retail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60151802656546,7.87476280834915,4.25230333097094,0,2.76752767527675,0,2.06659012629162,0,1.72512938470385,5.40540540540541,2.13545319928299,0,2.20115681233933,6.68380462724936,2.53470126735063,0,2.28260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"association",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84250474383302,0,1.91353649893692,9.28419560595323,3.25953259532595,10.1476014760148,4.32835820895522,0,3.61318765574084,0,2.93819655521783,0,3.02859897172236,0,2.52799570844229,0,2.27657004830918,0,0,3.17591499409682,1.82410423452769,3.52732869139049,2.7328714395689,3.49728786697718,3.09555854643337,0,2.25082689529177,0,1.67614050429966,0,1.38520838352204,0,1.15624371606676,4.03387003089224,1.68287342823943,6.85742476566351
"organization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41176470588235,0,2.19702338766832,0,1.42988929889299,7.62607626076261,2.49138920780712,0,2.07973931378187,0,1.69121658483361,7.746863066012,2.88399742930591,0,2.40729564809227,0,2.16787439613527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0056925996205,0,5.48074651547365,0,3.5670356703567,7.50307503075031,4.06429391504018,0,3.39275445658424,0,2.75894318447509,0,2.84383033419023,0,2.37376785355059,0,2.13768115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74807197943445,0.704083685375177,7.12130356065178,1.34661835748792,7.18599033816425,12.987012987013,9.41431944678698,12.5732899022801,8.531213579177,11.431870669746,9.29960637355297,11.1440107671601,7.00727170618822,10.0406451937798,7.2289156626506,9.48841276781809,6.06034105815478,9.6482775234883,6.91300792481229,9.5817414035793,6.51251306192244,9.23880513381951,3.94671928959053
"crisis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40037950664137,1.84266477675408,0,1.19926199261993,0,0.895522388059701,6.25717566016074,1.79221774966456,0,1.45740784038656,7.69230769230769,2.63496143958869,0,2.19942332193388,0,1.98067632850242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8856088560886,2.03214695752009,7.74971297359357,2.99022426682001,0,2.43161094224923,0,2.50642673521851,0,2.09213437940052,0,1.88405797101449,0,1.65289256198347,2.72221285208298,2.47557003257329,3.28123599199116,3.00230946882217,0,2.09959623149394,6.2994664833409,3.26859210011936,4.97642744892613,3.81868532283923,3.03017052907739,4.05926282823415,6.00340161891594,4.71546350291574,0,3.9862001911328,0
"taskrabbit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06169665809769,0.945483806075237,10.0784550392275,1.85990338164251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
