"","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"state",0.115241635687732,0.164285714285714,0.140255009107468,0.110091743119266,0.126903553299492,0.222222222222222,0.158002735978112,0.248201438848921,0.182854311199207,0.303713527851459,0.215728715728716,0.106,0.186638388123012,0.175175175175175,0.184238105219032,0.196555217831814,0.186349426884335,0.231854838709677
"ride",0.033457249070632,0,0.0163934426229508,0.139908256880734,0.0710659898477157,0.232704402515723,0.123803009575923,0.232014388489209,0.153617443012884,0.157824933687003,0.154761904761905,0.133,0.148992576882291,0.216216216216216,0.163068539090337,0.356636271529889,0.196248697464397,0.169354838709677
"energy",0.267657992565056,0.392857142857143,0.331511839708561,0.422018348623853,0.371573604060914,0.352201257861635,0.365253077975376,0.482014388489209,0.397423191278494,0.177718832891247,0.337662337662338,0.112,0.277836691410392,0.199199199199199,0.261370781806749,0,0.216568252865578,0
"green",0.271375464684015,0.45,0.36247723132969,0.385321100917431,0.37258883248731,0.379454926624738,0.374829001367989,0.406474820143885,0.383548067393459,0.208222811671088,0.335858585858586,0.162,0.289766702014846,0.126126126126126,0.255501991196814,0,0.21170545328239,0
"app",0,0,0,0,0,0,0,0.138489208633094,0.0381565906838454,0.153846153846154,0.0696248196248196,0.211,0.107104984093319,0.178178178178178,0.121987004820792,0.400202634245187,0.169676971170545,0.242943548387097
"making",0.171003717472119,0.135714285714286,0.153005464480874,0.169724770642202,0.160406091370558,0.19496855345912,0.171682626538988,0.201438848920863,0.1798810703667,0.204244031830239,0.186507936507937,0.149,0.176564156945917,0.168168168168168,0.174806120310208,0.2016210739615,0.179402570336923,0.172379032258065
"residents",0.304832713754647,0.282142857142857,0.293260473588342,0.188073394495413,0.246700507614213,0.327044025157233,0.272913816689466,0.285971223021583,0.276511397423191,0.212201591511936,0.259018759018759,0.125,0.223488865323436,0.194194194194194,0.217354852232236,0.168186423505572,0.208926710663425,0
"president",0.237918215613383,0.125,0.180327868852459,0.178899082568807,0.179695431472081,0.30188679245283,0.219562243502052,0.267985611510791,0.232903865213082,0.205570291777188,0.225468975468975,0.131,0.200424178154825,0.205205205205205,0.201425277719556,0.100303951367781,0.184091698506426,0.138104838709677
"idea",0.130111524163569,0.239285714285714,0.185792349726776,0.211009174311927,0.196954314720812,0.138364779874214,0.177838577291382,0.140287769784173,0.167492566897919,0.171087533156499,0.168470418470418,0.141,0.16118769883351,0.229229229229229,0.175434919304129,0.199594731509625,0.179576241750608,0.14616935483871
"working",0.033457249070632,0.189285714285714,0.112932604735883,0.197247706422018,0.150253807106599,0.207547169811321,0.168946648426813,0.188848920863309,0.174430128840436,0.140583554376658,0.165223665223665,0.134,0.15694591728526,0.159159159159159,0.157409348145043,0.185410334346505,0.162209100382077,0.245967741935484
